codimun,any,poblacio
080018,2013,12821
250019,2013,166
080023,2013,293
250024,2013,582
250030,2013,5505
080142,2013,2572
170010,2013,921
170025,2013,771
430017,2013,983
250387,2013,2520
250045,2013,792
250058,2013,325
250061,2013,356
170031,2013,170
250077,2013,2228
250083,2013,1580
250096,2013,764
430038,2013,539
170046,2013,816
250100,2013,244
430043,2013,9772
250117,2013,10000
250122,2013,3544
430056,2013,5267
439044,2013,4487
430069,2013,879
430075,2013,947
080039,2013,10110
430081,2013,364
430022,2013,2664
250138,2013,2778
250143,2013,285
430094,2013,1984
250156,2013,438
250169,2013,3006
250175,2013,283
430108,2013,512
250194,2013,6976
250208,2013,305
250215,2013,3360
430115,2013,1309
250220,2013,114
170062,2013,1721
080044,2013,273
250236,2013,6450
250241,2013,449
430120,2013,5684
170078,2013,2415
430136,2013,7330
080057,2013,9283
439060,2013,3631
430141,2013,22225
170084,2013,5839
250273,2013,1365
250292,2013,2113
430167,2013,5692
430154,2013,131
170097,2013,6527
080060,2013,16280
080076,2013,9391
170101,2013,428
080082,2013,227
430173,2013,132
080095,2013,12845
170118,2013,1063
430189,2013,456
250313,2013,71
250328,2013,79
080109,2013,5981
250334,2013,1522
250349,2013,3528
430192,2013,1637
250365,2013,217
250371,2013,444
080116,2013,2249
080121,2013,2297
170123,2013,1684
080137,2013,1738
080155,2013,224301
089045,2013,13055
080168,2013,2147
250390,2013,355
250404,2013,17544
080174,2013,3965
080180,2013,3306
430206,2013,3356
170157,2013,20492
250411,2013,929
430213,2013,484
082520,2013,33353
080193,2013,1655956
250426,2013,225
170160,2013,1053
250447,2013,220
430228,2013,1863
250450,2013,70
080207,2013,7429
170139,2013,4229
250463,2013,510
250485,2013,2374
251706,2013,296
170182,2013,727
250479,2013,1225
250498,2013,177
430234,2013,285
080214,2013,72
250501,2013,5182
430249,2013,2361
250518,2013,2251
250523,2013,2251
250539,2013,1581
430252,2013,736
430265,2013,1161
080229,2013,16994
170195,2013,2512
170209,2013,5171
170216,2013,212
080235,2013,9944
250557,2013,185
170221,2013,11364
430271,2013,206
430287,2013,4168
172348,2013,240
430290,2013,390
170237,2013,41517
170293,2013,262
170242,2013,508
430304,2013,744
250576,2013,280
170255,2013,1794
250582,2013,6199
430311,2013,2195
170268,2013,795
080240,2013,439
250595,2013,1138
430326,2013,560
430332,2013,1152
250560,2013,261
430347,2013,687
170274,2013,3892
080253,2013,2275
080266,2013,286
170280,2013,398
430350,2013,305
250609,2013,62
170314,2013,276
170307,2013,938
080272,2013,993
250616,2013,101
430363,2013,1282
080288,2013,1667
080291,2013,4948
080305,2013,7803
170329,2013,2916
080312,2013,3549
430379,2013,30482
080348,2013,1098
080327,2013,3213
170335,2013,8391
080333,2013,18102
080351,2013,19762
080370,2013,2596
080386,2013,2100
080364,2013,188
170340,2013,12004
250621,2013,795
439039,2013,3365
430385,2013,36441
170353,2013,718
170366,2013,3215
170372,2013,165
080399,2013,592
170388,2013,534
170391,2013,2487
250637,2013,96
170405,2013,740
080403,2013,15014
439076,2013,5925
080410,2013,17025
080425,2013,3320
170412,2013,326
080431,2013,5201
430398,2013,111
430402,2013,423
080446,2013,5415
170427,2013,665
080459,2013,88
080462,2013,19047
080478,2013,4561
080484,2013,797
430419,2013,242
170448,2013,10833
080497,2013,1638
170486,2013,12533
080575,2013,69
259046,2013,179
250642,2013,141
080522,2013,171
080500,2013,169
080517,2013,25122
080538,2013,4062
080543,2013,12811
080556,2013,775
250674,2013,887
080569,2013,68327
080581,2013,2569
170464,2013,938
080608,2013,162
080594,2013,462
080615,2013,2308
080620,2013,1415
250680,2013,709
170470,2013,11787
250693,2013,530
080636,2013,653
250707,2013,986
080641,2013,2729
430424,2013,3017
080654,2013,1671
080667,2013,2085
430430,2013,5118
250714,2013,46
171899,2013,2013
170499,2013,5462
080673,2013,7737
082687,2013,1197
082665,2013,57752
080689,2013,9461
250729,2013,9468
250735,2013,645
170502,2013,1007
170519,2013,301
250740,2013,188
250753,2013,158
250766,2013,155
170545,2013,477
250772,2013,558
080692,2013,4823
430458,2013,161
080706,2013,387
170558,2013,207
251636,2013,277
251615,2013,435
430461,2013,120
430477,2013,6849
080713,2013,342
430483,2013,1017
080728,2013,15529
250788,2013,1481
170577,2013,1293
080734,2013,90076
170561,2013,2398
430496,2013,1002
430509,2013,4067
170583,2013,242
179011,2013,1319
080749,2013,16950
250791,2013,343
430516,2013,15246
170600,2013,541
170617,2013,258
439018,2013,11834
080752,2013,5920
430537,2013,226
170622,2013,10676
080765,2013,22392
170638,2013,247
250812,2013,327
430542,2013,3758
080771,2013,46968
170643,2013,410
170656,2013,468
250827,2013,385
080787,2013,269
082541,2013,2265
250886,2013,134
080790,2013,403
250851,2013,164
250864,2013,874
250870,2013,61
430555,2013,2829
170059,2013,611
250899,2013,123
430568,2013,873
430574,2013,38
081347,2013,1157
080804,2013,46
259084,2013,256
430580,2013,120
170669,2013,47841
430593,2013,338
170675,2013,1148
430607,2013,3348
250925,2013,155
080826,2013,1631
080811,2013,481
170681,2013,293
080832,2013,2261
250931,2013,786
080847,2013,1555
080850,2013,1441
170694,2013,532
170708,2013,170
170715,2013,1441
250946,2013,185
179026,2013,1753
430614,2013,47
170736,2013,2732
170741,2013,787
080863,2013,20493
430629,2013,416
250962,2013,1234
250978,2013,89
080902,2013,177
430635,2013,714
080879,2013,187
430640,2013,3128
430653,2013,549
430666,2013,198
080885,2013,17028
170754,2013,469
170767,2013,190
170773,2013,970
080898,2013,47498
250984,2013,261
080919,2013,7944
259123,2013,1113
170789,2013,510
430672,2013,780
170792,2013,104038
080924,2013,4982
080930,2013,27
430688,2013,618
250997,2013,1907
170806,2013,202
251001,2013,228
251018,2013,756
080945,2013,2218
080958,2013,93
251023,2013,935
080961,2013,62950
251039,2013,149
251057,2013,156
251044,2013,154
430691,2013,236
080977,2013,1662
170813,2013,439
080996,2013,935
430705,2013,265
170828,2013,601
251095,2013,255
259031,2013,282
251109,2013,7525
251116,2013,131
081000,2013,2697
430712,2013,1172
081629,2013,3189
081017,2013,276617
170834,2013,4396
081022,2013,41287
251155,2013,1056
170849,2013,338
251137,2013,1605
251121,2013,333
251142,2013,100
170852,2013,388
081038,2013,829
170865,2013,3351
259101,2013,126
170871,2013,337
251180,2013,381
251193,2013,3520
251214,2013,1008
251229,2013,2737
081043,2013,946
170887,2013,848
251235,2013,255
251240,2013,185
081056,2013,13114
170890,2013,9197
170904,2013,714
170926,2013,4960
170911,2013,535
251253,2013,418
251266,2013,342
251207,2013,142990
170932,2013,1225
251272,2013,295
081075,2013,16083
081081,2013,6727
251288,2013,133
081069,2013,10476
430727,2013,107
170947,2013,1511
251291,2013,212
430733,2013,97
430748,2013,2386
170950,2013,41159
170963,2013,202
081094,2013,291
171024,2013,755
171030,2013,7822
170985,2013,464
170979,2013,295
251333,2013,905
251305,2013,242
081108,2013,19150
081115,2013,266
081120,2013,21182
081136,2013,78570
430764,2013,594
430751,2013,108
082423,2013,297
081141,2013,28643
081154,2013,4895
430770,2013,545
171002,2013,301
430786,2013,1133
081167,2013,745
081173,2013,3224
430799,2013,574
081189,2013,24176
430803,2013,297
